Datum,Feiertag
2012-01-01,Neujahr
2012-04-06,Karfreitag
2012-04-09,Ostermontag
2012-05-01,Tag der Arbeit
2012-05-17,Christi Himmelfahrt
2012-05-28,Pfingstmontag
2012-10-03,Tag der Deutschen Einheit
2012-10-31,Reformationstag
2012-12-25,Weihnachten
2012-12-26,Zweiter Weihnachtstag
2013-01-01,Neujahr
2013-03-29,Karfreitag
2013-04-01,Ostermontag
2013-05-01,Tag der Arbeit
2013-05-09,Christi Himmelfahrt
2013-05-20,Pfingstmontag
2013-10-03,Tag der Deutschen Einheit
2013-10-31,Reformationstag
2013-12-25,Weihnachten
2013-12-26,Zweiter Weihnachtstag
2014-01-01,Neujahr
2014-04-18,Karfreitag
2014-04-21,Ostermontag
2014-05-01,Tag der Arbeit
2014-05-29,Christi Himmelfahrt
2014-06-09,Pfingstmontag
2014-10-03,Tag der Deutschen Einheit
2014-10-31,Reformationstag
2014-12-25,Weihnachten
2014-12-26,Zweiter Weihnachtstag
2015-01-01,Neujahr
2015-04-03,Karfreitag
2015-04-06,Ostermontag
2015-05-01,Tag der Arbeit
2015-05-14,Christi Himmelfahrt
2015-05-25,Pfingstmontag
2015-10-03,Tag der Deutschen Einheit
2015-10-31,Reformationstag
2015-12-25,Weihnachten
2015-12-26,Zweiter Weihnachtstag
2016-01-01,Neujahr
2016-03-25,Karfreitag
2016-03-28,Ostermontag
2016-05-01,Tag der Arbeit
2016-05-05,Christi Himmelfahrt
2016-05-16,Pfingstmontag
2016-10-03,Tag der Deutschen Einheit
2016-10-31,Reformationstag
2016-12-25,Weihnachten
2016-12-26,Zweiter Weihnachtstag
2017-01-01,Neujahr
2017-04-14,Karfreitag
2017-04-17,Ostermontag
2017-05-01,Tag der Arbeit
2017-05-25,Christi Himmelfahrt
2017-06-05,Pfingstmontag
2017-10-03,Tag der Deutschen Einheit
2017-10-31,Reformationstag
2017-12-25,Weihnachten
2017-12-26,Zweiter Weihnachtstag
2018-01-01,Neujahr
2018-03-30,Karfreitag
2018-04-02,Ostermontag
2018-05-01,Tag der Arbeit
2018-05-10,Christi Himmelfahrt
2018-05-21,Pfingstmontag
2018-10-03,Tag der Deutschen Einheit
2018-10-31,Reformationstag
2018-12-25,Weihnachten
2018-12-26,Zweiter Weihnachtstag
2019-01-01,Neujahr
2019-04-19,Karfreitag
2019-04-22,Ostermontag
2019-05-01,Tag der Arbeit
2019-05-30,Christi Himmelfahrt
2019-06-10,Pfingstmontag
2019-10-03,Tag der Deutschen Einheit
2019-10-31,Reformationstag
2019-12-25,Weihnachten
2019-12-26,Zweiter Weihnachtstag
