"Warengruppe_1","Warengruppe_2","Warengruppe_3","Warengruppe_4","Warengruppe_5","Warengruppe_6","Umsatz","KielerWoche","Bewoelkung_0","Bewoelkung_1","Bewoelkung_2","Bewoelkung_3","Bewoelkung_4","Bewoelkung_5","Bewoelkung_6","Bewoelkung_7","Bewoelkung_8","Temperatur","Windgeschwindigkeit","Day","Month_01","Month_02","Month_03","Month_04","Month_05","Month_06","Month_07","Month_08","Month_09","Month_10","Month_11","Month_12","DayOfWeek_1","DayOfWeek_2","DayOfWeek_3","DayOfWeek_4","DayOfWeek_5","DayOfWeek_6","DayOfWeek_7"
0,0,1,0,0,0,201.198425690037,0,0,0,0,0,0,0,1,0,0,17.8375,15,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,148.828353112183,0,0,0,0,0,0,0,1,0,0,17.8375,15,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,317.475874933038,0,0,0,0,0,0,0,1,0,0,17.8375,15,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,535.856284785361,0,0,0,0,0,0,0,1,0,0,17.8375,15,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,65.890168799361,0,0,0,0,0,0,0,1,0,0,17.8375,15,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,546.780787392297,0,0,0,0,1,0,0,0,0,0,17.3125,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,265.261253994438,0,0,0,0,1,0,0,0,0,0,17.3125,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,159.79375714468,0,0,0,0,1,0,0,0,0,0,17.3125,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,383.628681612577,0,0,0,0,1,0,0,0,0,0,17.3125,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,74.5439171827412,0,0,0,0,1,0,0,0,0,0,17.3125,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,210.260241465493,0,0,0,0,0,0,0,0,1,0,21.075,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,305.523072325318,0,0,0,0,0,0,0,0,1,0,21.075,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,427.343258749983,0,0,0,0,0,0,0,0,1,0,21.075,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,111.885593514353,0,0,0,0,0,0,0,0,1,0,21.075,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,69.2627280649987,0,0,0,0,0,0,0,0,1,0,21.075,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,61.490175369225,0,0,0,0,0,0,0,0,1,0,18.85,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,168.864940979931,0,0,0,0,0,0,0,0,1,0,18.85,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,454.859641347987,0,0,0,0,0,0,0,0,1,0,18.85,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,190.686641378586,0,0,0,0,0,0,0,0,1,0,18.85,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,308.408167942149,0,0,0,0,0,0,0,0,1,0,18.85,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,492.818804066088,0,0,0,0,0,0,1,0,0,0,19.975,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,171.280754117955,0,0,0,0,0,0,1,0,0,0,19.975,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,355.518770367742,0,0,0,0,0,0,1,0,0,0,19.975,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,181.644870215041,0,0,0,0,0,0,1,0,0,0,19.975,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,86.7598614451924,0,0,0,0,0,0,1,0,0,0,19.975,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,291.557959835153,0,1,0,0,0,0,0,0,0,0,18.9625,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,174.552359998476,0,1,0,0,0,0,0,0,0,0,18.9625,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,631.906068038484,0,1,0,0,0,0,0,0,0,0,18.9625,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,80.6465768881107,0,1,0,0,0,0,0,0,0,0,18.9625,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,361.866932797941,0,1,0,0,0,0,0,0,0,0,18.9625,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,695.25572963054,0,1,0,0,0,0,0,0,0,0,21.375,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,92.6377553788373,0,1,0,0,0,0,0,0,0,0,21.375,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,279.665938833443,0,1,0,0,0,0,0,0,0,0,21.375,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,94.6039024817053,0,1,0,0,0,0,0,0,0,0,21.375,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,370.20960108863,0,1,0,0,0,0,0,0,0,0,21.375,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,285.233382496522,0,1,0,0,0,0,0,0,0,0,22.725,10,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,538.529249911711,0,1,0,0,0,0,0,0,0,0,22.725,10,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,195.158794309303,0,1,0,0,0,0,0,0,0,0,22.725,10,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,49.5000238633042,0,1,0,0,0,0,0,0,0,0,22.725,10,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,135.500244042392,0,1,0,0,0,0,0,0,0,0,22.725,10,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,585.957264698849,0,1,0,0,0,0,0,0,0,0,23.275,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,245.808338509722,0,1,0,0,0,0,0,0,0,0,23.275,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,136.048382778344,0,1,0,0,0,0,0,0,0,0,23.275,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,342.089345776475,0,1,0,0,0,0,0,0,0,0,23.275,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,75.2089975834558,0,1,0,0,0,0,0,0,0,0,23.275,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,135.132314289581,0,0,0,1,0,0,0,0,0,0,19.6875,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,567.365764527953,0,0,0,1,0,0,0,0,0,0,19.6875,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,265.109142544045,0,0,0,1,0,0,0,0,0,0,19.6875,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,343.353066508123,0,0,0,1,0,0,0,0,0,0,19.6875,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,73.8056511129258,0,0,0,1,0,0,0,0,0,0,19.6875,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,234.65807920749,0,1,0,0,0,0,0,0,0,0,21.375,12,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
