"Datum","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Warengruppe","Umsatz"
2014-06-21,1,6,15.5125,18,61,1,162.410672754329
2014-06-21,1,6,15.5125,18,61,2,691.302129885254
2014-06-21,1,6,15.5125,18,61,3,266.758833683806
2014-06-21,1,6,15.5125,18,61,4,55.3784359085427
2014-06-21,1,6,15.5125,18,61,5,398.075088856397
2014-06-22,1,5,15.7,19,NA,1,99.6276132843513
2014-06-22,1,5,15.7,19,NA,2,687.127455430513
2014-06-22,1,5,15.7,19,NA,3,256.961787120751
2014-06-22,1,5,15.7,19,NA,4,112.87846427577
2014-06-22,1,5,15.7,19,NA,5,399.756375802425
2014-06-23,1,4,16.5,17,NA,1,130.997404965594
2014-06-23,1,4,16.5,17,NA,2,511.714043984716
2014-06-23,1,4,16.5,17,NA,3,190.742545388738
2014-06-23,1,4,16.5,17,NA,4,89.1125310007438
2014-06-23,1,4,16.5,17,NA,5,331.768630064753
2014-06-24,1,7,14.3625,7,21,1,119.068455962972
2014-06-24,1,7,14.3625,7,21,2,508.608322070437
2014-06-24,1,7,14.3625,7,21,3,193.611313869673
2014-06-24,1,7,14.3625,7,21,4,80.6814437485115
2014-06-24,1,7,14.3625,7,21,5,293.582453806941
2014-06-25,1,0,18.4375,10,NA,1,114.248639971521
2014-06-25,1,0,18.4375,10,NA,2,517.169259136224
2014-06-25,1,0,18.4375,10,NA,3,177.06025159912
2014-06-25,1,0,18.4375,10,NA,4,74.4274080594379
2014-06-25,1,0,18.4375,10,NA,5,359.294724220182
2014-06-26,1,6,17.575,8,63,1,139.644833904018
2014-06-26,1,6,17.575,8,63,2,583.733870024269
2014-06-26,1,6,17.575,8,63,3,231.944214454895
2014-06-26,1,6,17.575,8,63,4,84.8155438313241
2014-06-26,1,6,17.575,8,63,5,379.567358758783
2014-06-27,1,4,20.1625,7,95,1,149.199619823898
2014-06-27,1,4,20.1625,7,95,2,595.204307059367
2014-06-27,1,4,20.1625,7,95,3,232.1659297551
2014-06-27,1,4,20.1625,7,95,4,65.0878866069292
2014-06-27,1,4,20.1625,7,95,5,371.32461993901
2014-06-28,1,6,16.9625,6,95,1,234.368963456298
2014-06-28,1,6,16.9625,6,95,2,861.858616856627
2014-06-28,1,6,16.9625,6,95,3,396.51241111032
2014-06-28,1,6,16.9625,6,95,4,105.33599228222
2014-06-28,1,6,16.9625,6,95,5,498.133552158124
