"Datum","Warengruppe","Umsatz","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche"
2014-06-21,1,162.410672754329,6,15.5125,18,61,1
2014-06-22,1,99.6276132843513,5,15.7,19,NA,1
2014-06-23,1,130.997404965594,4,16.5,17,NA,1
2014-06-24,1,119.068455962972,7,14.3625,7,21,1
2014-06-25,1,114.248639971521,0,18.4375,10,NA,1
2014-06-26,1,139.644833904018,6,17.575,8,63,1
2014-06-27,1,149.199619823898,4,20.1625,7,95,1
2014-06-28,1,234.368963456298,6,16.9625,6,95,1
2014-06-29,1,99.024824945212,7,17.3125,8,61,1
2015-06-20,1,146.634813820399,5,17.125,13,NA,1
2015-06-21,1,77.1354317914719,6,15.75,6,NA,1
2015-06-22,1,135.938737758693,5,13.5,8,61,1
2015-06-23,1,122.481453982781,5,16.5,10,21,1
2015-06-24,1,128.059192073461,8,12.625,14,61,1
2015-06-25,1,178.518522583761,6,17.125,8,21,1
2015-06-26,1,148.837350354137,7,19.25,5,61,1
2015-06-27,1,169.797038127635,7,19.375,16,61,1
2015-06-28,1,77.928316055467,2,19.875,10,NA,1
2016-06-18,1,178.053503357419,6,18,12,21,1
2016-06-19,1,47.3015501376727,7,16,14,NA,1
2016-06-20,1,154.234328655126,4,20.875,10,61,1
2016-06-21,1,122.723468787436,4,19.875,9,NA,1
2016-06-22,1,98.8851882321757,5,22.125,9,61,1
2016-06-23,1,159.229870584471,5,27.875,8,NA,1
2016-06-24,1,146.028836187358,5,24.125,9,NA,1
2016-06-25,1,160.675602624552,7,18.25,14,95,1
2016-06-26,1,70.9661977461169,5,19.25,11,0,1
2017-06-17,1,152.587185601354,0,20.125,15,0,1
2017-06-18,1,75.1727854873289,2,24.25,9,NA,1
2017-06-19,1,146.631334543439,1,25.375,7,0,1
2017-06-20,1,127.815304326711,0,20.75,12,0,1
2017-06-21,1,120.022105971466,3,18.75,10,NA,1
2017-06-22,1,78.1688619382617,3,20.25,10,95,1
2017-06-23,1,160.591006007475,7,17.25,14,61,1
2017-06-24,1,213.304834757744,6,17.875,19,61,1
2017-06-25,1,69.3531645812572,7,17.25,16,20,1
2018-06-16,1,165.240825926878,5,21.325,7,95,1
2018-06-17,1,131.774736746731,5,18.275,12,61,1
2018-06-18,1,150.60898110442,7,17.6375,9,61,1
2018-06-19,1,134.103229549554,3,19.2375,16,21,1
2018-06-20,1,187.760363692391,3,23.65,13,0,1
2018-06-21,1,137.380800589863,7,11.5625,15,65,1
2018-06-22,1,173.94005241559,5,15.575,20,61,1
2018-06-23,1,228.688308197952,7,14.3,18,61,1
2018-06-24,1,96.8397776549712,6,16.2375,10,21,1
2014-06-21,2,691.302129885254,6,15.5125,18,61,1
2014-06-22,2,687.127455430513,5,15.7,19,NA,1
2014-06-23,2,511.714043984716,4,16.5,17,NA,1
2014-06-24,2,508.608322070437,7,14.3625,7,21,1
2014-06-25,2,517.169259136224,0,18.4375,10,NA,1
2014-06-26,2,583.733870024269,6,17.575,8,63,1
2014-06-27,2,595.204307059367,4,20.1625,7,95,1
2014-06-28,2,861.858616856627,6,16.9625,6,95,1
2014-06-29,2,770.70069957598,7,17.3125,8,61,1
2015-06-20,2,571.278131371528,5,17.125,13,NA,1
2015-06-21,2,553.599170821681,6,15.75,6,NA,1
2015-06-22,2,412.309330067662,5,13.5,8,61,1
2015-06-23,2,423.1358501964,5,16.5,10,21,1
2015-06-24,2,479.943327331225,8,12.625,14,61,1
2015-06-25,2,484.513720535521,6,17.125,8,21,1
2015-06-26,2,517.667163948615,7,19.25,5,61,1
2015-06-27,2,708.700690129254,7,19.375,16,61,1
2015-06-28,2,686.349904220686,2,19.875,10,NA,1
2016-06-18,2,455.115566690297,6,18,12,21,1
2016-06-19,2,515.510722561944,7,16,14,NA,1
2016-06-20,2,414.129888774016,4,20.875,10,61,1
2016-06-21,2,390.81874030213,4,19.875,9,NA,1
2016-06-22,2,437.625292013129,5,22.125,9,61,1
2016-06-23,2,444.85642620105,5,27.875,8,NA,1
2016-06-24,2,504.789708077128,5,24.125,9,NA,1
2016-06-25,2,770.940264429072,7,18.25,14,95,1
2016-06-26,2,673.058408685448,5,19.25,11,0,1
2017-06-17,2,578.780125724772,0,20.125,15,0,1
2017-06-18,2,586.165188828483,2,24.25,9,NA,1
2017-06-19,2,382.488175663817,1,25.375,7,0,1
2017-06-20,2,434.849517951858,0,20.75,12,0,1
2017-06-21,2,430.906719081176,3,18.75,10,NA,1
2017-06-22,2,418.672448020086,3,20.25,10,95,1
2017-06-23,2,439.210505371538,7,17.25,14,61,1
2017-06-24,2,631.28176537999,6,17.875,19,61,1
2017-06-25,2,577.997897373246,7,17.25,16,20,1
2018-06-16,2,536.452348266225,5,21.325,7,95,1
2018-06-17,2,561.16613003467,5,18.275,12,61,1
2018-06-18,2,453.773846005242,7,17.6375,9,61,1
2018-06-19,2,439.387692233904,3,19.2375,16,21,1
2018-06-20,2,438.20673354481,3,23.65,13,0,1
2018-06-21,2,425.408065202863,7,11.5625,15,65,1
2018-06-22,2,443.18009337283,5,15.575,20,61,1
2018-06-23,2,706.424379766017,7,14.3,18,61,1
2018-06-24,2,579.887614059894,6,16.2375,10,21,1
2014-06-21,3,266.758833683806,6,15.5125,18,61,1
2014-06-22,3,256.961787120751,5,15.7,19,NA,1
2014-06-23,3,190.742545388738,4,16.5,17,NA,1
2014-06-24,3,193.611313869673,7,14.3625,7,21,1
2014-06-25,3,177.06025159912,0,18.4375,10,NA,1
2014-06-26,3,231.944214454895,6,17.575,8,63,1
2014-06-27,3,232.1659297551,4,20.1625,7,95,1
2014-06-28,3,396.51241111032,6,16.9625,6,95,1
2014-06-29,3,288.960776618001,7,17.3125,8,61,1
2015-06-20,3,220.298734884554,5,17.125,13,NA,1
2015-06-21,3,206.347777642486,6,15.75,6,NA,1
2015-06-22,3,183.964615046141,5,13.5,8,61,1
2015-06-23,3,172.407057152837,5,16.5,10,21,1
2015-06-24,3,179.618053020787,8,12.625,14,61,1
2015-06-25,3,169.658267286,6,17.125,8,21,1
2015-06-26,3,181.11146289077,7,19.25,5,61,1
2015-06-27,3,274.594255311076,7,19.375,16,61,1
2015-06-28,3,248.020004494018,2,19.875,10,NA,1
2016-06-18,3,210.995958062752,6,18,12,21,1
2016-06-19,3,221.472814024848,7,16,14,NA,1
2016-06-20,3,160.366420638134,4,20.875,10,61,1
2016-06-21,3,147.991076622665,4,19.875,9,NA,1
2016-06-22,3,132.946056097799,5,22.125,9,61,1
2016-06-23,3,161.58432145411,5,27.875,8,NA,1
2016-06-24,3,161.274225315318,5,24.125,9,NA,1
2016-06-25,3,330.478660501536,7,18.25,14,95,1
2016-06-26,3,240.674329382729,5,19.25,11,0,1
2017-06-17,3,289.376417642361,0,20.125,15,0,1
2017-06-18,3,301.35058891641,2,24.25,9,NA,1
2017-06-19,3,211.583246910582,1,25.375,7,0,1
2017-06-20,3,181.240683684111,0,20.75,12,0,1
2017-06-21,3,181.547354525725,3,18.75,10,NA,1
2017-06-22,3,143.490671929285,3,20.25,10,95,1
2017-06-23,3,172.344413428855,7,17.25,14,61,1
2017-06-24,3,367.632769652741,6,17.875,19,61,1
2017-06-25,3,257.372454543866,7,17.25,16,20,1
2018-06-16,3,249.755999609154,5,21.325,7,95,1
2018-06-17,3,301.987694387114,5,18.275,12,61,1
2018-06-18,3,183.905575463908,7,17.6375,9,61,1
2018-06-19,3,167.94911352995,3,19.2375,16,21,1
2018-06-20,3,178.485146197655,3,23.65,13,0,1
2018-06-21,3,165.510528887169,7,11.5625,15,65,1
2018-06-22,3,205.270413262478,5,15.575,20,61,1
2018-06-23,3,339.700511154661,7,14.3,18,61,1
2018-06-24,3,312.533160106558,6,16.2375,10,21,1
2014-06-21,4,55.3784359085427,6,15.5125,18,61,1
2014-06-22,4,112.87846427577,5,15.7,19,NA,1
2014-06-23,4,89.1125310007438,4,16.5,17,NA,1
2014-06-24,4,80.6814437485115,7,14.3625,7,21,1
2014-06-25,4,74.4274080594379,0,18.4375,10,NA,1
2014-06-26,4,84.8155438313241,6,17.575,8,63,1
2014-06-27,4,65.0878866069292,4,20.1625,7,95,1
2014-06-28,4,105.33599228222,6,16.9625,6,95,1
2014-06-29,4,139.687762195994,7,17.3125,8,61,1
2015-06-21,4,79.6238577111724,6,15.75,6,NA,1
2015-06-22,4,95.7934490225752,5,13.5,8,61,1
2015-06-23,4,59.3399435978971,5,16.5,10,21,1
2015-06-24,4,136.751450668224,8,12.625,14,61,1
2015-06-25,4,76.9256449556744,6,17.125,8,21,1
2015-06-26,4,133.675162322483,7,19.25,5,61,1
2015-06-27,4,51.4184892058944,7,19.375,16,61,1
2015-06-28,4,92.6062037819606,2,19.875,10,NA,1
2016-06-18,4,74.0956742931782,6,18,12,21,1
2016-06-19,4,157.876050195996,7,16,14,NA,1
2016-06-20,4,80.4346390087438,4,20.875,10,61,1
2016-06-21,4,75.1865037322638,4,19.875,9,NA,1
2016-06-22,4,46.4521045149254,5,22.125,9,61,1
2016-06-23,4,77.5616208592352,5,27.875,8,NA,1
2016-06-25,4,80.143148747234,7,18.25,14,95,1
2016-06-26,4,103.99952080863,5,19.25,11,0,1
2017-06-17,4,72.512643357311,0,20.125,15,0,1
2017-06-18,4,71.2599878811923,2,24.25,9,NA,1
2017-06-19,4,66.5031569430632,1,25.375,7,0,1
2017-06-20,4,59.7710397044917,0,20.75,12,0,1
2017-06-21,4,74.2881182284261,3,18.75,10,NA,1
2017-06-22,4,93.3756723023931,3,20.25,10,95,1
2017-06-23,4,79.9477044026905,7,17.25,14,61,1
2017-06-24,4,62.1562035019027,6,17.875,19,61,1
2017-06-25,4,94.280904248875,7,17.25,16,20,1
2018-06-16,4,79.9425697031279,5,21.325,7,95,1
2018-06-17,4,105.970913596347,5,18.275,12,61,1
2018-06-18,4,52.4623142900464,7,17.6375,9,61,1
2018-06-19,4,47.8861290193053,3,19.2375,16,21,1
2018-06-20,4,68.6435116412585,3,23.65,13,0,1
2018-06-21,4,50.3503164926632,7,11.5625,15,65,1
2018-06-22,4,62.6581464475431,5,15.575,20,61,1
2018-06-23,4,49.884049264678,7,14.3,18,61,1
2018-06-24,4,68.6194271147451,6,16.2375,10,21,1
2014-06-21,5,398.075088856397,6,15.5125,18,61,1
2014-06-22,5,399.756375802425,5,15.7,19,NA,1
2014-06-23,5,331.768630064753,4,16.5,17,NA,1
2014-06-24,5,293.582453806941,7,14.3625,7,21,1
2014-06-25,5,359.294724220182,0,18.4375,10,NA,1
2014-06-26,5,379.567358758783,6,17.575,8,63,1
2014-06-27,5,371.32461993901,4,20.1625,7,95,1
2014-06-28,5,498.133552158124,6,16.9625,6,95,1
2014-06-29,5,316.483478198112,7,17.3125,8,61,1
2015-06-20,5,280.186941692026,5,17.125,13,NA,1
2015-06-21,5,235.514638799317,6,15.75,6,NA,1
2015-06-22,5,254.862522218275,5,13.5,8,61,1
2015-06-23,5,270.726957416684,5,16.5,10,21,1
2015-06-24,5,300.990362700812,8,12.625,14,61,1
2015-06-25,5,271.335895693763,6,17.125,8,21,1
